"replicate","truepopsize","afpopsize","genopopsize","rarefreqcutoff","raregeno_mean","raregeno_sd","rarealleles_mean","rarealleles_sd","findgeno_mean","findgeno_sd","findalleles_mean","findalleles_sd"
49,20000,100,50,0.1,0.0337,0.0053766312190168,0.0337,0.0053766312190168,0.00308026030368764,0.00849423773116693,0.089587852494577,0.0634789746407568
50,20000,100,50,0.1,0.0346,0.00547349830304801,0.0346,0.00547349830304801,0.00269441401971522,0.00756345535588761,0.0879299014238773,0.0651330244213744
51,20000,100,50,0.1,0.03282,0.00447072107593121,0.03282,0.00447072107593121,0.0033587786259542,0.00830997203291561,0.0904907306434024,0.0655667196708491
52,20000,100,50,0.1,0.03452,0.00608189014658289,0.03452,0.00608189014658289,0.0026537216828479,0.00768380563025202,0.0874649406688242,0.0646734830256183
53,20000,100,50,0.1,0.03454,0.00577895548785524,0.03454,0.00577895548785524,0.00275409836065574,0.00778960706721779,0.090207650273224,0.0696054883714723
54,20000,100,50,0.1,0.03184,0.00573339661411051,0.03184,0.00573339661411051,0.00325274725274725,0.00854496088819095,0.0883516483516484,0.0656735222211533
55,20000,100,50,0.1,0.0341,0.00603814405868802,0.0341,0.00603814405868802,0.00286334056399132,0.00777260850037984,0.0894793926247289,0.0670581619013632
56,20000,100,50,0.1,0.03466,0.00553876874257027,0.03466,0.00553876874257027,0.00274465691788526,0.00763047448729804,0.086681664791901,0.0630092845934081
57,20000,100,50,0.1,0.03118,0.00623253478096339,0.03118,0.00623253478096339,0.00260021668472373,0.00698305043984394,0.0903358613217768,0.0660522691450378
58,20000,100,50,0.1,0.03432,0.00533544176010855,0.03432,0.00533544176010855,0.0028039430449069,0.00766785167746676,0.0912595837897043,0.066473278817555
59,20000,100,50,0.1,0.0331,0.00503963879496075,0.0331,0.00503963879496075,0.00281659388646288,0.00773418978013277,0.0919650655021834,0.0670051207740204
60,20000,100,50,0.1,0.03332,0.00563313810393099,0.03332,0.00563313810393099,0.00300326441784548,0.0080108171834306,0.0892709466811752,0.0668511461786491
61,20000,100,50,0.1,0.0361,0.0048497843419337,0.0361,0.0048497843419337,0.00293007769145394,0.00785030748828503,0.0909655937846837,0.0661484856079892
62,20000,100,50,0.1,0.03392,0.00655849659228549,0.03392,0.00655849659228549,0.00252448313384113,0.00721164628839944,0.0863982589771491,0.0675301775293078
63,20000,100,50,0.1,0.03318,0.00497622920923636,0.03318,0.00497622920923636,0.00298440979955457,0.00823307234254263,0.0891982182628062,0.0648643444831417
64,20000,100,50,0.1,0.03314,0.00588325191209968,0.03314,0.00588325191209968,0.00321151716500554,0.00846844934990398,0.0893244739756368,0.0686865040717763
65,20000,100,50,0.1,0.03224,0.00623210908709639,0.03224,0.00623210908709639,0.00282249173098126,0.00850752304197938,0.0883131201764057,0.0645045566598088
66,20000,100,50,0.1,0.0364,0.00481070235442364,0.0364,0.00481070235442364,0.00276169265033408,0.00803774555789619,0.0905567928730512,0.0659914659828676
67,20000,100,50,0.1,0.03126,0.00401939177041522,0.03126,0.00401939177041522,0.00287878787878788,0.00784066850484339,0.0888744588744589,0.0653155474119782
68,20000,100,50,0.1,0.03526,0.0053368568292888,0.03526,0.0053368568292888,0.00311745334796926,0.00833016710858114,0.090032930845225,0.0668465440604769
69,20000,100,50,0.1,0.03418,0.00537070663841532,0.03418,0.00537070663841532,0.00304157549234136,0.00826348810316842,0.0887308533916849,0.0660671750641548
70,20000,100,50,0.1,0.03538,0.00587936550790221,0.03538,0.00587936550790221,0.00311886586695747,0.00863374381927054,0.0883315158124318,0.0658928203707475
71,20000,100,50,0.1,0.03682,0.00438778452766593,0.03682,0.00438778452766593,0.00227322404371585,0.00694395302235435,0.0914535519125683,0.0668644958494702
72,20000,100,50,0.1,0.03146,0.00560688352448514,0.03146,0.00560688352448514,0.00254901960784314,0.00764787296376215,0.087363834422658,0.0672486270493673
